Charge,Discharge,SoC
0.041666666666666664,0.0,0.5416666666666666
0.041666666666666664,0.0,0.5791666666666666
0.0,0.041666666666666664,0.5328703703703703
0.0,0.041666666666666664,0.48657407407407405
0.0,0.041666666666666664,0.44027777777777777
0.0,0.041666666666666664,0.3939814814814815
0.0,0.041666666666666664,0.3476851851851852
0.0,0.041666666666666664,0.30138888888888893
0.0,0.041666666666666664,0.25509259259259265
0.0,0.0,0.25509259259259265
0.0,0.0,0.25509259259259265
0.0,0.041666666666666664,0.20879629629629637
0.0,0.041666666666666664,0.1625000000000001
0.025205761316872317,0.0,0.18518518518518517
0.0,0.0,0.18518518518518517
0.0,0.041666666666666664,0.1388888888888889
0.0,0.0,0.1388888888888889
0.0,0.0,0.1388888888888889
0.0,0.0,0.1388888888888889
0.0,0.0,0.1388888888888889
0.0,0.0,0.1388888888888889
0.0,0.0,0.1388888888888889
0.0,0.0,0.1388888888888889
0.0,0.0,0.1388888888888889
0.0,0.0,0.1388888888888889
0.0,0.0,0.1388888888888889
0.0,0.0,0.1388888888888889
0.0,0.0,0.1388888888888889
0.0,0.0,0.1388888888888889
0.0,0.0,0.1388888888888889
0.0,0.0,0.1388888888888889
0.0,0.0,0.1388888888888889
0.0,0.0,0.1388888888888889
0.0,0.0,0.1388888888888889
0.0,0.0,0.1388888888888889
0.0,0.041666666666666664,0.09259259259259259
0.0,0.041666666666666664,0.046296296296296294
0.0,0.041666666666666664,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.041666666666666664,0.0,0.0375
0.0,0.0,0.0375
0.041666666666666664,0.0,0.075
0.0,0.0,0.075
0.041666666666666664,0.0,0.11249999999999999
0.0,0.041666666666666664,0.0662037037037037
0.041666666666666664,0.0,0.10370370370370369
0.041666666666666664,0.0,0.1412037037037037
0.041666666666666664,0.0,0.1787037037037037
0.041666666666666664,0.0,0.2162037037037037
0.041666666666666664,0.0,0.2537037037037037
0.041666666666666664,0.0,0.2912037037037037
0.0,0.041666666666666664,0.2449074074074074
0.041666666666666664,0.0,0.2824074074074074
0.0,0.006249999999999978,0.27546296296296297
0.041666666666666664,0.0,0.31296296296296294
0.041666666666666664,0.0,0.3504629629629629
0.0,0.0,0.3504629629629629
0.0,0.0,0.3504629629629629
0.0,0.0,0.3504629629629629
